English	Burak	Loo of Galdemaru	Loo of Waamura	Maɣdi	Lee Mak of Panya	Lee Mak of Zoo	Kya̰k	Mɔɔ	LeeLau	Dza of Kaigama	Munga Doso	Joole	Jòòle of Joole Manga
this	kûŋ	kǒŋ	yuâŋ 	núŋ né àné	nuŋu	kǒŋ	kɛ	nə̀ŋ kà	núŋ kwàŋ, kwà, kòŋ	nǝŋ nә́	nә́ŋ nà		
that	ka kwáá	kʊ́kɔ̀	lul kʊ́kɔ̀	núŋ lè	nuŋ wílí	wúlí	kúló	a kɔ́	núŋ kǝlo	nǝŋ léè	nә́ŋ léì		
who?	wéí	wei	wai	wô	wê	wǝ (o)	yá	ya, yyaa	yâ	waɗé	nәŋ wɛ́ɛ̀	dúwà (wanene)	aya
what?	ɓɛ́	ɓa	ɓa	ɓê	ɓê	ɓê	ɓɛ̂	mʌ̂	ɓǝ tɛ́na	dǝbade	mbɛɛ	dә́bádé	ába
not	yo	yɛ	yyɛ	yéì	yè	yé	yoŋû	yaŋʊ̀	yáúŋ	hwṵ̈aŋ	yáùŋ	yǜòŋ	hàà nə̀ŋ
all	pirit, fɛ́k, píp, pɛ́ŋ	ɓә́ŋ	ɓә́ŋ	píp	píp	píp	ndê	nsê	ndệ, ndɛ́ì	hḛ	gbə̂m	(bə̰) hɛ̰	bə θi
many	wéé, tatíì	wéé (sháŋ)	wéé (sháŋ)	dáŋá, níí dáŋéré	gbáá	le kpá̰á̰lì	kpa	ŋma díŋ	kpa hár	ihnyanə̂ŋ	ŋmá wa nèí	ínhyanə̂ŋ	gùgò
big	mút	mút	múrì	mú	mó	le murì	go̰o̰	gaa dә́ŋ	gaa thá	ká̰nkàà	kángá̰á̰	ká̰ ká̰á	yaù wúná gò
long	gbɛ́nɛ́	gbínɛ́	búnɛ́	júná	güna	güna	gwện	gwen də̀ŋ	gún dhà	ka̰a̰fìì	vii láà	ká̰ fii	múŋwì
small	tɔ̂p, tɔ́p	tuwɔ́ɔ́p	tuwɔ́ɔ́p	ɓó tôp	tóp	twɔ́p	ɗwàl cwâp	níí cwàp	t(u)wap níí	fɛɛni; tshwɐnì (little thing)	nii tswáni	tswáni; feenì (very small)	tìbáŋ (kankane, gajere)
woman	líshɛ́ɛ / yélàà líshɛ́ɛ	lísé / yélé ká lísé	lishei / yìlà lishei	ìshè / lééshèè	lishye / leesye	lishyee / leesheyy	yithí / yáayìthi	yisí / yáyìsi	yìsí / yáshi	ífá yíè / eéyéè íyé / eyéè	iihèì / léhéí	yie / ééyìè	ní shí
person	lúl	lúl	lúl / luluwéé	yugùl / léégùl	yugùl / leegùl	yugùl / leegùl	yù / yááyú	yùù / yáyúú	yùù / yááyúú	ífə̀ / eéfʌ̀nə	ífò / èfò	yìvə̀ / eefàfə̀	núhú
man	liɓé / yélàà liɓé	liɓé, yuu liɓé	luálibə / yila lìbə	líɓèi / leeləɓei	liɓei / leeləɓei	liɓei / leeləɓei	yiɓé / yááyìɓe	yiɓé / yáyìɓe	yìɓɛ́í / yáɓɛi	íbùì / eebúì	yibúì / lébùì	ibùì / eeibwì	nimbi / nó nìmbì
fish	shée	shéé	shyé	shéí / yééshei	sei / yeeséì	sei / yeeséí	théŋ	sә́ŋ	thə̰(ŋ)	hnyә́ŋ	hnyíìŋ / leehnyíìŋ	híә́ŋ / eehíә́ŋ	θíŋ
bird	yúnúŋ	yuluŋ	yǘnúŋ	yülùŋ / yeeyǘlùŋ	yuluŋ / yeeyuluŋ	yülùŋ	nyúk	nyúú	nuruk	ih̰wui / eh̰wui ; éhwü	yíhüì / leyihüì	hṵ̈ḭ / ééhṵ̈ḭ	yǘnú
dog	ɗwaa	ɗwáà	ɗwáà	ɗwáá / yeeɗwaa; kúlmáá	ɗwaà / yeeɗwaà	ɗwáá	ɗyùà	ɗywàà	ɗwaà	iidshwá / eyìdshwá	yiɗwaa / léɗwaa	idjṵ́á̰ / éé-, idyǘá	yǜywà
louse	kurmáà	kúrmò	kúrmò	bei	bei	síì	síì	sii	ńsḛ(ḛ́) / énsḛ̀	ńza̰, ńzʌ̰	sɛ̰́	nshɛ̂	
tree	ɗít / yéɗit	ɗít	káp	káp / yéékáp	kap / yeekâp	kàp	káp	kaap	kâp	kɐ́ɐ / ekʌ́(ʌ)	kaa / lékaa	kʌ́ / èèkʌ́	nyááká / nyááká búbáí
seed	lʊ́k	lʊ́k	lʊ́k	lók	lok	lok	beenuŋ	beenìŋ	ɓeenùŋ	nә́ŋ pyɛ́nә́ŋ	byenìŋ	nəŋ́ pyà	gya
kwaya	ári	ɛrɛ	álɛ́	nuŋé	nuŋé	núŋ nuŋ, núŋu	núŋ	nuŋ	nә́ŋ nə̀ŋ	nә́ŋ	nә́ŋ nəŋ	nùù ná, nuu gyà	
