ID,Name,Source,Glottocode,Glottolog_Name,Macroarea,Latitude,Longitude
Burak,Burak,Kleinewillinghoefer2014,bura1271,Burak,Eastern Nigeria,9.49,11.07
Burak,Burak,Kleinewillinghoefer2015,bura1271,Burak,Eastern Nigeria,9.49,11.07
LooofGaldemaru,Loo of Galdemaru,Kleinewillinghoefer2014,looo1238,Loo,Eastern Nigeria,9.41,11.05
LooofGaldemaru,Loo of Galdemaru,Kleinewillinghoefer2015,looo1238,Loo,Eastern Nigeria,9.41,11.05
LooofWaamura,Loo of Waamura,Kleinewillinghoefer2014,looo1238,Loo,Eastern Nigeria,9.41,11.05
LooofWaamura,Loo of Waamura,Kleinewillinghoefer2015,looo1238,Loo,Eastern Nigeria,9.41,11.05
Maghdi,Maɣdi,Kleinewillinghoefer2015,magh1238,Mághdì,Eastern Nigeria,9.29,11.02
MaghdiTala,Maɣdi (Tala),Kleinewillinghoefer2014,magh1238,Mághdì,Eastern Nigeria,9.29,11.02
LeeMakofPanya,Lee Mak of Panya,Kleinewillinghoefer2015,pany1242,Panya,Eastern Nigeria,,
LeeMakofPanya,Leemak of Panya,Kleinewillinghoefer2014,pany1242,Panya,Eastern Nigeria,,
LeeMakofZoo,Lee Mak of Zoo,Kleinewillinghoefer2015,zooo1239,Zo,Eastern Nigeria,,
LeeMakofZoo,Leemak of Zoo,Kleinewillinghoefer2014,zooo1239,Zo,Eastern Nigeria,,
Kyak,Kya̰k,Kleinewillinghoefer2015,kyak1243,Kyak,Eastern Nigeria,9.52,11.28
KyakBambuka,Kyak (Bambuka),Kleinewillinghoefer2014,kyak1243,Kyak,Eastern Nigeria,9.52,11.28
Moo,Mɔɔ,Kleinewillinghoefer2015,mooo1239,Moo,Eastern Nigeria,9.44,11.2
MooGomu,Moo (Gomu),Kleinewillinghoefer2014,mooo1239,Moo,Eastern Nigeria,9.44,11.2
LeeLau,LeeLau,Kleinewillinghoefer2015,leel1242,Leelau,Eastern Nigeria,9.29,11.16
LeelauMungaLeelau,Leelau (Munga Leelau),Kleinewillinghoefer2014,leel1242,Leelau,Eastern Nigeria,9.29,11.16
DzaofKaigama,Dza of Kaigama,Kleinewillinghoefer2015,dzaa1238,Dza,Eastern Nigeria,9.27,11.39
JenofKaigamma,Jen of Kaigamma,Kleinewillinghoefer2014,dzaa1238,Dza,Eastern Nigeria,9.27,11.39
MungaDoso,Munga Doso,Kleinewillinghoefer2014,ming1254,Mingang Doso,Eastern Nigeria,9.26,11.29
MungaDoso,Munga Doso,Kleinewillinghoefer2015,ming1254,Mingang Doso,Eastern Nigeria,9.26,11.29
Joole,Joole,Kleinewillinghoefer2015,,,Eastern Nigeria,,
Joole,Jòòlè,Kleinewillinghoefer2014,,,Eastern Nigeria,,
JooleofJooleManga,Jòòle of Joole Manga,Kleinewillinghoefer2015,thaa1239,Tha,Eastern Nigeria,9.21,11.18
JooleofJooleManga,Jòòle of Joole Manga,Kleinewillinghoefer2014,thaa1239,Tha,Eastern Nigeria,9.21,11.18
