ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Burak-Kleinewillinghoefer2015_1_this-1,,Burak,Kleinewillinghoefer2015_1_this,kûŋ,kûŋ,k û ŋ,,Kleinewillinghoefer2015,,,^k û ŋ$,default
LooofGaldemaru-Kleinewillinghoefer2015_1_this-1,,LooofGaldemaru,Kleinewillinghoefer2015_1_this,kǒŋ,kǒŋ,k ǒ/o ŋ,,Kleinewillinghoefer2015,,,^k ǒ ŋ$,default
LooofWaamura-Kleinewillinghoefer2015_1_this-1,,LooofWaamura,Kleinewillinghoefer2015_1_this,yuâŋ ,yuâŋ,y u â/a ŋ,,Kleinewillinghoefer2015,,,^yu â ŋ$,default
Maghdi-Kleinewillinghoefer2015_1_this-1,,Maghdi,Kleinewillinghoefer2015_1_this,núŋ né àné,núŋ né àné,n ú/u ŋ + n é/e + à/a n é/e,,Kleinewillinghoefer2015,,,^n ú ŋ + n é + à n é$,default
LeeMakofPanya-Kleinewillinghoefer2015_1_this-1,,LeeMakofPanya,Kleinewillinghoefer2015_1_this,nuŋu,nuŋu,n u ŋ u,,Kleinewillinghoefer2015,,,^n u ŋ u$,default
LeeMakofZoo-Kleinewillinghoefer2015_1_this-1,,LeeMakofZoo,Kleinewillinghoefer2015_1_this,kǒŋ,kǒŋ,k ǒ/o ŋ,,Kleinewillinghoefer2015,,,^k ǒ ŋ$,default
Kyak-Kleinewillinghoefer2015_1_this-1,,Kyak,Kleinewillinghoefer2015_1_this,kɛ,kɛ,k ɛ,,Kleinewillinghoefer2015,,,^k ɛ$,default
Moo-Kleinewillinghoefer2015_1_this-1,,Moo,Kleinewillinghoefer2015_1_this,nə̀ŋ kà,nə̀ŋ kà,n ə̀/ə ŋ + k à/a,,Kleinewillinghoefer2015,,,^n ə̀ ŋ + k à$,default
LeeLau-Kleinewillinghoefer2015_1_this-1,,LeeLau,Kleinewillinghoefer2015_1_this,"núŋ kwàŋ, kwà, kòŋ",núŋ kwàŋ,n ú/u ŋ + kʷ à/a ŋ,,Kleinewillinghoefer2015,,,^n ú ŋ + kw à ŋ$,default
LeeLau-Kleinewillinghoefer2015_1_this-2,,LeeLau,Kleinewillinghoefer2015_1_this,"núŋ kwàŋ, kwà, kòŋ",kwà,kʷ à/a,,Kleinewillinghoefer2015,,,^kw à$,default
LeeLau-Kleinewillinghoefer2015_1_this-3,,LeeLau,Kleinewillinghoefer2015_1_this,"núŋ kwàŋ, kwà, kòŋ",kòŋ,k ò/o ŋ,,Kleinewillinghoefer2015,,,^k ò ŋ$,default
DzaofKaigama-Kleinewillinghoefer2015_1_this-1,,DzaofKaigama,Kleinewillinghoefer2015_1_this,nǝŋ nә́,nǝŋ nә́,n ə ŋ + n ә́/ə,,Kleinewillinghoefer2015,,,^n ǝ ŋ + n ә́$,default
MungaDoso-Kleinewillinghoefer2015_1_this-1,,MungaDoso,Kleinewillinghoefer2015_1_this,nә́ŋ nà,nә́ŋ nà,n ə ŋ + n à/a,,Kleinewillinghoefer2015,,,^n ә́ ŋ + n à$,default
Burak-Kleinewillinghoefer2015_2_that-1,,Burak,Kleinewillinghoefer2015_2_that,ka kwáá,ka kwáá,k a + kʷ áá/aː,,Kleinewillinghoefer2015,,,^k a + kw áá$,default
LooofGaldemaru-Kleinewillinghoefer2015_2_that-1,,LooofGaldemaru,Kleinewillinghoefer2015_2_that,kʊ́kɔ̀,kʊ́kɔ̀,k ʊ́/ʊ k ɔ̀,,Kleinewillinghoefer2015,,,^k ʊ́ k ɔ̀$,default
LooofWaamura-Kleinewillinghoefer2015_2_that-1,,LooofWaamura,Kleinewillinghoefer2015_2_that,lul kʊ́kɔ̀,lul kʊ́kɔ̀,l u l + k ʊ́/ʊ k ɔ̀,,Kleinewillinghoefer2015,,,^l u l + k ʊ́ k ɔ̀$,default
Maghdi-Kleinewillinghoefer2015_2_that-1,,Maghdi,Kleinewillinghoefer2015_2_that,núŋ lè,núŋ lè,n ú/u ŋ + l è/e,,Kleinewillinghoefer2015,,,^n ú ŋ + l è$,default
LeeMakofPanya-Kleinewillinghoefer2015_2_that-1,,LeeMakofPanya,Kleinewillinghoefer2015_2_that,nuŋ wílí,nuŋ wílí,n u ŋ + w í/i l í/i,,Kleinewillinghoefer2015,,,^n u ŋ + w í l í$,default
LeeMakofZoo-Kleinewillinghoefer2015_2_that-1,,LeeMakofZoo,Kleinewillinghoefer2015_2_that,wúlí,wúlí,w ú/u l í/i,,Kleinewillinghoefer2015,,,^w ú l í$,default
Kyak-Kleinewillinghoefer2015_2_that-1,,Kyak,Kleinewillinghoefer2015_2_that,kúló,kúló,k ú/u l ó/o,,Kleinewillinghoefer2015,,,^k ú l ó$,default
Moo-Kleinewillinghoefer2015_2_that-1,,Moo,Kleinewillinghoefer2015_2_that,a kɔ́,a kɔ́,a + k ɔ́/ɔ,,Kleinewillinghoefer2015,,,^a + k ɔ́$,default
LeeLau-Kleinewillinghoefer2015_2_that-1,,LeeLau,Kleinewillinghoefer2015_2_that,núŋ kǝlo,núŋ kǝlo,n ú/u ŋ + k ə l o,,Kleinewillinghoefer2015,,,^n ú ŋ + k ǝ l o$,default
DzaofKaigama-Kleinewillinghoefer2015_2_that-1,,DzaofKaigama,Kleinewillinghoefer2015_2_that,nǝŋ léè,nǝŋ léè,n ə ŋ + l é/e è/e,,Kleinewillinghoefer2015,,,^n ǝ ŋ + l é è$,default
MungaDoso-Kleinewillinghoefer2015_2_that-1,,MungaDoso,Kleinewillinghoefer2015_2_that,nә́ŋ léì,nә́ŋ léì,n ə ŋ + l é/e ì/i,,Kleinewillinghoefer2015,,,^n ә́ ŋ + l é ì$,default
